code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"MOTFLA","Motacilla flava","Land Bird",,"Passereau","Autre oiseau","Bergeronnette printanniere",,,,"Bergeronnette printanniere","Yellow Wagtail","Lavandera boyera","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",4.9900000000000000e+02,"Motacilla flava"," Bergeronnette printaniere","Yellow Wagtail",3.7410000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Motacillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"MOTOBO","Small motor boat","Human activity",,"Plaisance","Ship","Bateau a petit moteur",,,,"Bateau a petit moteur","Small motor boat","Barco petitmotor","X",,,,"Activite humaine","Ship","Recreational boating",,,,,,,,,,,,"Guy, Ant","R","R","R","Samm, bat, atlancet","x",,,,"MOTOBO",,"Ship","Ship",,"BATMOT / Samm"
"MOTSPP","Motacilla spp","Land Bird",,"Passereau","Autre oiseau","Bergeronnette ind.",,,,"Bergeronnette ind.","Wagtail sp","Lavandera spp","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",5.0000000000000000e+02,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"MOTYAR","Motacilla Yarelli","Land Bird",,"passereau","Motacillidae","Bergeronnette de Yarrell",,,,"Bergeronnette de Yarrell","Pied wagtail","Lavandera yarrellii","Chordata","Aves","Passeriformes","Motacillidae","Oiseau terrestre","Other bird","Passerine",,"Motacilla  Yarrellii",,,,,,,,,,,,,,,,,,,,,,,,
"MUSSTR","Muscicapa striata","Land Bird",,"Passereau","Autre oiseau","Gobemouche gris",,,,"Gobemouche gris","Spotted Flycatcher","Papamoscas gris","Chordata","Aves","Passeriformes","Muscicapidae","Oiseau terrestre","Other bird","Passerine",5.0300000000000000e+02,"Muscicapa striata"," Gobemouche gris","Spotted Flycatcher",4.3190000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"NETBO","Gill-netter","Human activity",,"Peche","Ship","Bateau fileyeur",,,,"Bateau fileyeur","Gill-netter","Barco enmalle","X",,,,"Activite humaine","Ship","Fishing activity",,,,,,,,,,,,,,,,"Bat","x","FIBO",,,"0",,"Ship","Ship",,"BATFIL / bat"
"NONE","No scavengers","Other",,"Other","Other","Pas de suiveurs",,,,"Pas de suiveurs","No scavengers",,"X",,,,"Autre","Other","Other",,,,,,,,,,,,,,,,"Bat",,,,,"0",,"Other","Other",,
"NUMARQ","Numenius arquata","Land Bird",,"Limicole","Scolopacidae","Courlis cendre",,,,"Courlis cendre","Eurasian Curlew","Zarapito real","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Shorebird","Scolopacidae",5.1400000000000000e+02,"Numenius arquata"," Courlis cendre","Eurasian Curlew",2.5760000000000000e+03,,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,,,,"bat","x",,,,"0",,"Limicole","Limicole",,
"NUMPHA","Numenius phaeopus","Land Bird",,"Limicole","Scolopacidae","Courlis corlieu",,,,"Courlis corlieu","Whimbrel","Zarapito trinador","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Shorebird","Scolopacidae",5.1500000000000000e+02,"Numenius phaeopus","Courlis corlieu","Whimbrel",2.5710000000000000e+03,"159040","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,,,,"bat","x",,,,"0",,"Limicole","Limicole",,
"NUMSPP","Numenius spp","Land Bird",,"Limicole","Scolopacidae","Courlis ",,,,"Courlis ind.","Curlew sp","Zarapito spp","Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Shorebird","Scolopacidae",5.1600000000000000e+02,,,,,,,,,,,,,,,"bat","x",,,,"0",,"Limicole","Limicole",,
"OCELEU","Oceanodroma leucorhoa","Seabird","Storm-petrel","Oceanite","Hydrobatidae","Oceanite culblanc",,,"surface","Oceanite culblanc","Leach's storm-petrel","Paino de Leach","Chordata","Aves","Ciconiiformes","Hydrobatidae","Oiseau marin","Hydrobatidae","Storm-petrel",5.2100000000000000e+02,"Oceanodroma leucorhoa","Petrel cul-blanc, Oceanite cul-blanc","Leach's Storm Petrel",2.4230000000000000e+03,"137192","Animalia","Chordata","Aves","Ciconiiformes","Hydrobatidae",,,,,"bat",,,,,"0",,"Oceanite","Oceanite",,
"OCEOCE","Oceanites oceanicus","Seabird","Storm-petrel","Oceanite","Hydrobatidae","Petrel de Wilson",,,"surface","Oceanite de Wilson","Wilson's storm-petrel","Paino Wilson","Chordata","Aves","Ciconiiformes","Hydrobatidae","Oiseau marin","Hydrobatidae","Storm-petrel",5.1800000000000000e+02,"Oceanites oceanicus","Petrel de Wilson, Oceanite de Wilson","Wilson's Storm Petrel",1.0390000000000000e+03,"137190","Animalia","Chordata","Aves","Ciconiiformes","Hydrobatidae",,"epa",,,"bat",,,,,"0",,"Oceanite","Oceanite",,
